,P1,P2,P3,P4,P5
P1,1.0,0.0177,0.0066,0.0074,0.0332
P2,0.0177,1.0,0.0116,0.0169,0.0617
P3,0.0066,0.0116,1.0,0.0066,0.0105
P4,0.0074,0.0169,0.0066,1.0,0.0208
P5,0.0332,0.0617,0.0105,0.0208,1.0
