month,asset_pricing,credit_fraud,crypto,derivatives,forecasting,macro_econ,other,portfolio,risk,text_altdata,trading
2026-03,3,10,4,5,17,1,8,17,3,9,7
2026-04,4,3,5,4,10,0,5,15,7,11,2
2026-05,3,8,2,4,26,3,6,18,7,16,7
2026-06,4,8,5,6,15,0,6,19,6,14,10
2026-07,1,2,2,7,6,1,7,18,6,17,9
2026-08,2,9,9,5,16,1,6,26,3,18,10
2026-09,1,0,0,0,1,0,1,2,0,0,0
