month,classical_ml,deep_seq,generative,graph,llm,other,rl
2026-03,0.0476,0.2976,0.0476,0.0238,0.369,0.1429,0.0714
2026-04,0.0455,0.2879,0.0455,0.0,0.4848,0.0606,0.0758
2026-05,0.04,0.26,0.05,0.0,0.51,0.08,0.06
2026-06,0.0323,0.1935,0.0645,0.0,0.5376,0.0645,0.1075
2026-07,0.0789,0.3026,0.0,0.0263,0.4079,0.0658,0.1184
2026-08,0.0857,0.1714,0.0286,0.0095,0.5333,0.0952,0.0762
2026-09,0.0,0.0,0.0,0.0,0.8,0.2,0.0
